codigo,artista,musica,letra
01183,Zé Henrique e Gabriel,"Ah, Que Deus É Esse!",Se Ele chegar nesse lugar
01184,Sorriso Maroto,Ainda Existe Amor Em Nós,Nós estamos separados
01185,Calcinha Preta,Amor Dividido,Não quero mais esse amor dividido
01186,João Bosco e Vinícius,Coração Só Vê Você,Se esse amor não falasse tão alto as
01187,João Neto e Frederico,Detonou,Detonou explodiu
01188,Leonardo,Esse Alguém Sou Eu,Meu pensamento
01189,Franco Levine,Eu Tô Aqui,Senta aqui
01190,Calcinha Preta,Você Não Vale Nada,Você nao vale nada mas eu gosto de vo
01191,Nando Reis,Ainda Não Passou,Triste é não chorar
01192,Jussara Silveira,Além Do Paraíso,Perversa serpente do mal mentirosa
01193,Bruno e Marrone,Amor Não Vai Faltar,Me diz o que você quer que eu te
01194,MC Babi,Anjo Da Madrugada,Uh uh uh uh uh uh uh
01195,Nelson Gonçalves,Camisola Do Dia,Amor eu me lembro ainda
01196,Nelson Gonçalves,Chore Comigo,Estou mais triste nesta triste noite
01197,Leonardo,Longe,Onde é que eu fui parar aonde é esse
01198,Noite Ilustrada,Meus Tempos De Criança,Eu daria tudo que tivesse
01199,Janaina Kais,Mulher Pra Namorar,Chega
01200,Fernando e Sorocaba,Paga Pau,Você diz que não me ama você diz que
01201,Renato Teixeira,A Viola E O Cantador,La la la la
01202,Eduardo Duzek,"Alô, Alô Brasil",Alô alô... quem fala é do Brasil
01203,Titãs,Antes De Você,Antes não pensava em você
01204,Papas na Língua,Balada Do Amor Perdido,Feche os olhos meu amor
01205,Elizeth Cardoso,Canção Da Volta,Nunca mais vou fazer o que meu coração
01206,Rita Lee,Cecy Bom (C'Est Si Bon),Cecy bom
01207,Banda Calypso,Chá De Maracujá,Não adianta ligar que eu não atendo
01208,Jota Canalha,Chatos Em Desfile,Se o cara chateia
01209,Tchê Garotos,Chega De Deprê,Hoje vou sair
01210,Alexandre Pires,Cigano,Era lindo o nosso amor
01211,Zizi Possi,Corsário,Meu coração tropical tá coberto de ne
01212,Inimigos da HP e Edson e Hudson,De Peito Aberto Pra Quem Quer Me Amar,Foi passou doeu e não dói mais
01213,Jota Quest,De Volta Ao Planeta Dos Macacos,Lá fora
01214,Fresno,Desde Quando Você Se Foi,Mais uma história com um final
01215,Liah,E Não Vou Mais Deixar Você Tão Só,Se a vida inteira
01216,Elba Ramalho,É Só Você Querer,O meu amor é seu
01217,CPM 22,Estranho No Espelho,Quem você vê quando me olha
01218,Claudia Leitte,Horizonte,Noite à toa sentimento de querer bem
01219,Roger e Robson,Linda Menina,Linda... menina linda
01220,Zezé Di Camargo e Luciano,Não Quero Te Perder,Quero sim
01221,Roupa Nova,Natal Todo Dia,Um clima de sonho se espalha no ar
01222,Rodriguinho e Nana Damasceno,O Amor Venceu,Conto os dias conto as horas
01223,Teodoro e Sampaio,O Trem Tá Feio,Disse que aqui mais nada é de graça
01224,Forró do Muído,Palácios E Castelos,Te pedi que me levasse a sério
01225,Grupo Revelação,Pecadora,Lêlê lêlê lêlê lêlê lêlê
01226,Monique Kessous,Pitangueira,Uma palavra de amor
01227,Titãs,Porque Eu Sei Que É Amor,Porque eu sei que é amor
01228,Chimarruts,Pra Ela,Se um dia alguém te deixou
01229,Eduardo Costa,Presente De Deus,Hoje quando parei pra pensar
01230,Latino e Banda Calypso,Propostas Indecentes,Venha dançar o amor se entregue por
01231,Banda Eva e Netinho,Química Perfeita,Quando ela me olhou não vi mais nada
01232,Rick e Renner,Riacho Sereno,O riacho é sereno o caminho é tranq
01233,Emílio Santiago,Rosa Morena,Rosa morena
01234,Jota Quest,Seis E Trinta,Pareço contigo normal e do avesso
01235,Skank,Sutilmente,E quando eu estiver triste
01236,Jorge Vercillo,Toda Espera,É a paciência foi pela vida inteira
01237,Rud e Robson,Tomar Um Gole,Eu to cansado de trabaiá eu quero tom
01238,Waldick Soriano,Torturas De Amor,Hoje que a noite está calma
01239,Zélia Duncan,Tudo Sobre Você,Queria descobrir em vinte e quatro
01240,Hugo e Tiago,Virou Rotina,Todo dia a mesma coisa já virou roti
01241,Capital Inicial,A Vida É Minha (Eu Faço O Que Eu Quiser),Faça isso Faça aquilo
01242,João Bosco e Vinícius,"Ah, É?",Olha
01243,Sá e Guarabira,Atrás Poeira,Ele pegou um baio
01244,Nelson Gonçalves,Carlos Gardel,Tango bandoneon uma guitarra que gem
