codigo,artista,musica,letra
16473,Simone e Simaria,Pássaro Noturno,Procurei e encontrei meu amor
16474,Dilsinho,Péssimo Negócio,Precisei de mil frases certas pra te conquistar
16475,Zé Ramalho - Daniela Mercury,Procurando A Estrela,Se você for aquela estrela que não encontrei
16476,Fernanda Abreu,Rio 40 Graus,Rio quarenta graus cidade maravilha
16477,Gabriel Diniz,Safadezinha,Eu tô te chamando pra beber mas você sabe
16478,Yasmin Santos,Saudade Nível Hard,Ah se esse aperto fosse falta de dinheiro
16479,Monique Kessous,Sinceramente,Sinceramente você pode se abrir comigo
16480,Anitta - MC Kevinho,Terremoto,Essa mina é sem vergonha
16481,João Neto e Frederico - MC Kevinho,Cê Acredita,Tá virada há dois dias e não vai d
16482,Ludmilla - Anitta,Favela Chegou,Quando solta essa daqui ninguém
16483,Jota Quest,Morrer De Amor,Tchu ururu... Não esperava que fo
16484,Zeca Pagodinho,Não Sou Mais Disso,Eu não sei se ela fez feitiço
16485,Whadi Gama,Piscininha Amor,Tava de boa e falei amor vamos p
16486,Jerry Smith - Wesley Safadão,Quem Tem O Dom,Dom dom dom... Tem tem gente q
16487,Luan Santana - Jorge e Mateus,Sofazinho,Quase uma missão impossível faz
16488,Gustavo Mioto,Solteiro Não Trai,Já é a quinta vez que você liga as
16489,Dennis DJ - Bruno Martini - Vitin,Sou Teu Fã,Raio de Sol brilho mais belo
16490,Xand Avião,Uber,Ela pensou que ia me enganar car
16491,Gusttavo Lima,Cem Mil,Não fale mais o meu nome não m
16492,Glória Groove,Coisa Boa,Convoquei azamiguinha e tu sabe
16493,Melim,Dois Corações,Eu era apenas eu nada demais
16494,Ferrugem,Ensaboado,Lá laiá... É muito mais que mereç
16495,Iza,Esse Brilho É Meu,Dorme com esse barulho eu quer
16496,IRA!,Pobre Paulista,Todos os não se agitam toda a ad
16497,Pixote,Saudade Arregaça,Fica a pergunta no ar
16498,Wem - Roberta Campos,Se Eu Te Encontrar,As manchetes vão virar poema
16499,Tribalistas,Sem Você,Pra onde eu vou agora
16500,Jorge e Mateus,Terra Sem Cep,Você dizia que eu trabalhava pra v
16501,Vitor Kley,Adrenalizou,Montanha-russa paraquedas salto
16502,Marília Mendonça,Ciumeira,No começo eu entendia mas era s
16503,Lauana Prado - Maiara e Maraísa,Cobaia,Iê iê iê...  Você tem um emprego p
16504,Zé Neto e Cristiano,Derreter A Aliança,Eu tava tão certo quando eu decid
16505,Thiaguinho,Domingando,Olha só que loucura quem tá apai
16506,Ivete Sangalo - Marília Mendonça,O Nosso Amor Venceu,Agora longe de você vivendo toda
16507,Sandy - Anavitória,Pra Me Refazer,Sabe amor eu fui sem canto pra t
16508,NX Zero,Só Rezo,Quando não tenho mais pra onde
16509,Enzo Rabelo - Zé Felipe,Tijolinho Por Tijolinho,E algumas mentiras beijaram sua
16510,Fernando e Sorocaba -Maiara e Maraísa,Zona De Risco,Lembra do nosso primeiro abraço
16511,De Maria - Luiza Possi,Amanheceu,Amanheceu as estrelas já caíram
16512,Sergio Reis,Couro De Boi,Conheço um velho ditado... Para
16513,Roberta Sá -Gilberto Gil -Jorge Benjor,Ela Diz Que Me Ama,Eu gosto tanto dela e ela diz que
16514,Gabriel Elias,Fiz Esse Som Pra Você,Fiz esse som pra você ouvir na be
16515,Amado Batista,Folha Seca,Fazia um dia bonito quando ela ch
16516,Beth Carvalho,Malandro Sou Eu,Segura teu santo seu moço teu sa
16517,Ana Clara e Atitude 67,Página Marcada,Você diz que sabe tudo mas de m
16518,Turma do Pagode - Henrique e Diego,Pesquisa No Google,Eu já tô prevendo meu arrependi
16519,Ultraje a Rigor,Rebelde Sem Causa,Meus dois pais me tratam muito b
16520,MC Kevin - Gusttavo Lima,Salvou Meu Dia,Eu tô com pressa vontade louca
16521,Marília Mendonça,Bem Pior Que Eu,Mente que vai dar uma volta e vem me ver
16522,Iza,Brisa,Sente a vibração que o som chegou
16523,Thaeme e Thiago,Casa Pequenininha,Casinha simples bem apertada
16524,Ferrugem,Chopp Garotinho,Lalaiá laiá... Lembro do dia em que marcamos
16525,Dilsinho,Controle Remoto,Quem dera se depois de ontem você
16526,De Maria,Ela,Ela é poema de uma rima solta
16527,Sorriso Maroto - Ferrugem,Me Arrependi,Você já sabia que eu não ia aceitar
16528,Bruno e Marrone,Na Conta Da Loucura,Gosto das suas mãos atrevidas
16529,Wanderley Andrade,Traficante Do Amor,Se você é careta fique logo ligado
16530,Maiara e Maraísa - Zé Neto e Cristiano,Traí Sim,Sabe aquele dia que eu pedi pra você ir
16531,Ludmilla - Jão,A Boba Fui Eu,Se era isso o que você queria
16532,Pato Fú,Antes Que Seja Tarde,Olha não sou daqui
16533,Paolo - Kell Smith,Cadê O Amor,Sinto que você mudou ou mudamos nós
16534,Turma do Pagode,Camisa 10,Se um dia eu disser que não te amo
16535,Yasmin Santos - Gustavo Mioto,Então Vou Avisar,Você já parou pra pensar
16536,Wesley Safadão,O Cara Errado,Eu sei que você quer alguém
16537,Detonautas - Lucas Lucco,Por Onde Você Anda?,Os dias ficaram estranhos
16538,Chrystian e Ralf,Saudade,Você sempre fez os meus sonhos
16539,Vanessa da Mata,Só Você E Eu,Amor se for por seu carinho
16540,Anitta e Caetano Veloso,Você Mentiu,Você mentiu
16541,Engenheiros do Hawaí,Até O Fim,Não vim até aqui pra desistir agora
16542,IRA!,Bebendo Vinho,Eu vivo sozinho e apaixonado
16543,Luiza Possi,Desejo Preferido,Foi tão bonito o teu sorriso
16544,Ana Carolina,Não Tem No Mapa,Às vezes eu me chamo por aí
16545,Jorge Vercillo,Nas Minhas Mãos,Coisa mais delícia de se ver passar
16546,Elis Regina,Onze Fitas,Por engano vingança ou cortesia
16547,Zeca Baleiro,Por Minha Rua,Não sei o que aconteceu
16548,Anavitória e Vitor Kley,Pupila,Como que eu vou dizer pra ela
16549,Armandinho - Fabão,Toca Uma Regguera Aí,Ô meu toca uma reggera aí
16550,Marília Mendonça,Todo Mundo Vai Sofrer,A garrafa precisa do copo o copo precisa
16551,Felipe Araújo - Jorge e Mateus,Chave Cópia,Não vou virar a página o certo é rasgar
16552,Disney Rei Leão - Graça Cunha,Ciclo Sem Fim,Nants' ingonyama... Desde o dia em que
16553,Maneva - Gabriel Elias,Corre Pro Meu Mar,Corre pro altar tô te esperando com flores
16554,Natiruts - Morgan Heritage,I Love,Amo a força que você me traz
16555,Simone e Simaria,Mentira Estampada Na Cara,Te entreguei minha vida confiei
16556,Disney Aladdin - Márcio Simões,Nunca Teve Um Amigo Assim,Lá vou eu... Ali Babá e os Quarenta Ladrões
16557,Luan Santana,Quando A Bad Bater,Amor eu só quero o seu bem
16558,Chico Rey e Paraná,Quem Será Seu Outro Amor,Vi os seus olhos brilhando de tanto amor
16559,Atitude 67,Tão Linda,Moleque safo quietinho sempre saia sozinho
16560,Jorge e Mateus,Tijolão,Eu te conheci depois que a gente largou
16561,Malía,Arte,Eu tô me sentindo diferente
16562,Daniel,Casava De Novo,É mais uma história de um casal
16563,Thiaguinho - Maria Rita,Desliga Você,E aí tudo bem quanto tempo
16564,Mumuzinho,Eu Mereço Ser Feliz,Ê lalaiá ê lalaiá... O dia tava tão lindo
16565,Zé Neto e Cristiano,Ferida Curada,Tão cheia de certeza você duvidou
16566,Matheus e Kauan,Nessas Horas,Você de lá e eu de cá
16567,Jorge e Mateus,Ou Some Ou Soma,Me diz o que você quer de mim
16568,Marília Mendonça,Serenata,Foi chegando e chegou
16569,Armandinho,Sol Loiro,Te sinto tão longe longe longe longe
16570,Jota Quest,Todas As Janelas,Todo o amor todo o meu apreço
16571,Felipe Araújo,Big Bang,Se juntar um Maracanã lotado
16572,Melim,Gelo,Não sou de me apaixonar de primeira
16573,Jorge Aragão,Identidade,Se preto de alma branca pra você
16574,Enzo Rabelo,Meio Caminho Andado,Será que cê chegou voando
16575,Glória Groove,Muleke Brasileiro,Quem é esse cara que quando ele chega
16576,Luciana Mello,Na Correria,Eu levo a vida na correria
16577,Dilsinho - Sorriso Maroto,Pouco A Pouco,Iê-ê-ê-ê... Mudei de endereço mas
16578,Léo Chaves - Ludmilla,Sol Das Seis,Para pensa mais um pouco antes
16579,Bruno e Marrone - Jorge e Mateus,Surto De Amor,Ela tava tão linda mesmo abrançando ele
16580,Antônio Marcos,Você Pediu E Eu Já Vou Daqui,Você pediu e eu já vou daqui
16581,Farofa Carioca - Seu Jorge,A Carne,A carne mais barata do mercado é a
16582,Roupa Nova - Maite Perroni,Destino O Casualidad (Destino Ou Acaso),Ella iba caminando sola por la calle
16583,Wesley Safadão,Igual Ela Só Uma,E tá mandando esse olhinho por quê
16584,Diego e Victor Hugo,Infarto,Ajuda eu aqui me deu uma tonteira
16585,Ney Matogrosso,Mal Necessário,Sou um homem sou um bicho sou um
16586,Gretchen,Melô Piripipi,Piri piri piri pipiripi
16587,Gusttavo Lima,Milu,Quem cai uma vez vai cair três
16588,Outro Eu,Não Olha Assim Pra Mim,Não me afasta do tom da tua pele
16589,Perla,Pombinha Branca,Quando o Sol sai lá nos montes
16590,Marilia Mendonça,Sem Sal,Não aceitou o nosso fim tá desesperado
16591,Vitor Kley - Samuel Rosa,A Tal Canção Pra Lua,Pá pá parapá... Deixa eu querer voar
16592,Sandy e Júnior,Cai A Chuva (Me Diz),Cai a chuva e molha o meu amor
16593,Xand Avião,Casal Raiz,Faltou dinheiro aqui cê tem aí amor
16594,Capital Inicial,Depois Da Meia-Noite,Dias de verão e noites de inverno
16595,Felipe Araújo,Espaçosa Demais,Quando você chegou já tinha muita gente
16596,Luiz Gonzaga,Imbalança,Olha a palha do coqueiro quando o vento
16597,Detonautas,O Retorno De Saturno,Visão do espaço estamos tão distantes
16598,Chitãozinho e Xororó,Obras De Poeta,Os passarinhos enfeitam os jardins
16599,Luan Estilizado,Sebastiana,Convidei a comadre Sebastiana
16600,Milionário e José Rico,Solidão,Alguém me falou que você me enganou
16601,George Henrique e Rodrigo,Bagunça Minha Vida,Não era pra ser mas foi
16602,Marília Mendonça,Bebi Liguei,Acordei mais uma vez embriagado
16603,Zé Neto e Cristiano,Bebida Na Ferida,Parecia um bom negócio
16604,Léo Santana - Anitta,Contatinho,Tá pensando que eu sou o quê
16605,Adriana Calcanhoto,Era Pra Ser,Era pra ser canção de amor
16606,Sandy - Iza,Eu Só Preciso Ser,Eu não preciso ensinar
16607,Peão Carreiro e Zé Paulo,Porta Do Mundo,O som da viola bateu no meu peito
16608,Cidinho e Doca,Rap Da Felicidade (Eu Só Quero É Ser Feliz),Eu só quero é ser feliz
16609,Raça Negra,Somente Você,Somente você pode me fazer feliz
16610,Lauana Prado,Você Humilha,Tatuei na minha alma seu rosto
16611,Luciana Mello,Borboletas,Borboletas são tão belas o que seriam delas
16612,Pabllo Vittar,Disk Me,Que coragem você tem de me ligar
16613,Naiara Azevedo,Ex Do Seu Atual,Eu conheço essa pessoa que tá chegando
16614,Zé Ricardo,Exato Momento,O amor precisa da sorte
16615,Exaltasamba,Já Que Tá Gostoso Deixa (Mata O Papai),Tô doidinho pra te dar um cheiro ô mulher
16616,Iza,Meu Talismã,Ei você ainda não percebeu
16617,Milionário e José Rico,O Último Julgamento,Senta aqui neste banco pertinho de mim
16618,Anitta - Ludmilla - Snoop Dogg - Papatinho,Onda Diferente,A noite está cada vez melhor
16619,Gusttavo Lima,Que Pena Que Acabou,Que pena que acabou uô uô uô uô
16620,Tiago Iorc - Duda Beat,Tangerina,Chega bem devagar
16621,Fernando e Sorocaba - Maiara e Maraísa,Alô Som,Contra choro não tem argumento
16622,Rita Lee,Bem Me Quer,Diga que me odeia mas diga que não vive
16623,Enzo Rabelo,Calma,Quatro abraços e um café
16624,Matheus e Kauan,Consórcio,Você se arruma pra me encontrar
16625,Thiaguinho,Deixa Tudo Como Tá,Deixa tudo como tá
16626,Luiz Gonzaga - Gonzaguinha,Festa,Sol vermelho é bonito de se ver
16627,Wesley Safadão - Zé Neto e Cristiano,Na Cama Que Eu Paguei,Será que é pra tanto
16628,Simone e Simaria - Marília Mendonça,O Que É O Que É?,Eu vou fazer o quiz dos namorados
16629,Manoel Gomes,Caneta Azul,Caneta azul azul caneta
16630,Amado Batista,Serenata,Ah como eu queria
16631,Luan Santana,Água Com Açucar,Você terminou com ele e tá chorando
16632,Maiara e Maraísa,Aí Eu Bebo,Deu sexta-feira de novo
16633,Alcione,Amor Surreal,Se ajoelha e me pede perdão
16634,Os 3 do Nordeste,É Proibido Cochilar,O forró daqui é melhor do que o teu
16635,Bruno e Barreto - Conrado e Aleksandro,Eu Quero É Rolo,Tava sofrendo demais bebendo demais
16636,Gustavo Mioto,Fake News,Se a cidade falar que me viu sofrendo
16637,Anitta,Pantera,Te avisaram do perigo que é pra ter cuidado
16638,Léo Jaime,Rock Estrela,Quem sou eu e quem é você
16639,Limão Com Mel,Toma Conta De Mim,Toma conta de mim
16640,Luiza Possi - Roberta Campos,Você Sorriu Pra Mim,Você sorriu pra mim
16641,Duda Beat,Bixinho,Ô bixinho eu te conheço de outra vida
16642,Jorge e Mateus,Cheirosa,Se eu dissesse que tá tudo bem
16643,Melim,Dia Cinza,Eu vivia bem rodeado de amigos
16644,Tiago Iorc - Jorge Drexler,Me Tira Pra Dançar,Sei não algo me diz que eu não sei
16645,Zeca Baleiro,Onça Pintada,Ê onça-pintada quem foi que te pintou
16646,Pabllo Vittar - Psirico,Parabéns,Hoje é um dia especial
16647,Marília Mendonça,Passa Mal,Quando me deixou eu nem sonhava
16648,Atitude 67 - Thiaguinho,Saideira,Outra vez vacilei mas você já sabia
16649,Anitta - Marília Mendonça,Some Que Ele Vem Atrás,Amiga do céu meu boy me largou
16650,Jão,Vou Morrer Sozinho,Você me ama bem mas eu me distraio
16651,Maiara e Maraisa - Marilia Mendonca,Bebaca,Diz que aguenta bebida
16652,Alan e Aladim,Dois Passarinhos,No instante em que voce me beija
16653,Iza - Ciara - Major Lazer,Evapora,Ai ai ai ai ai o que eu sinto
16654,Fagner,Fracasso,Nao chore se eu disser
16655,Ludmilla - Leo Santana,Invocada,Eu te amava nao posso negar
16656,Ivete Sangalo - Leo Santana,Mainha Gosta Assim,Sabe que eu levo no peito
16657,Cazuza,Minha Flor Meu Bebe,Dizem que eu to louco
16658,Eduardo Costa,Olha Ela Ai,Vi seu coracao de pedra virar de algo
16659,Rubel - Anavitoria,Partilhar,Se for preciso eu pego um barco eu remo
16660,Los Hermanos,Sentimental,O quanto eu te falei
16661,Felipe e Ferrari,A Carta De Larissa,Era apenas um garoto
16662,Titas,Aa Uu,OO AA UU Estou ficando louco de tanto
16663,Henrique e Juliano,Cidade Vizinha,Seis essa e a hora que ela vai sair
16664,Belo,Contramao,Se bater no coracao vou deixar fluir
16665,Paula Toller,Essa Noite Sem Fim,Se voce disser que nunca me amou
16666,Pericles,Ninguem Ama,Nao da pra forcar
16667,Munhoz e Mariano,O Que E O Que E,O que e o que e
16668,Dilsinho,Onze E Pouquinho,Eu achei que tinha
16669,Claudia Leitte,Taquita,Eu to pronta pra descer do salto
16670,Roberta Campos,Todo Dia,Te vejo com o coracao
16671,Inimigos da HP - Sorriso Maroto,A Regra Do Jogo,Deixou sua marca em mim
16672,Pabllo Vittar,Amor De Que,O que os olhos nao veem o coracao nao
16673,Anitta - Lexa - Luisa Sonza - MC Rebecca,Combatchy,Agora vai comecar o combatchy
16674,Alceu Valenca,Eu Vou Fazer Voce Voar,Eu vou fazer voce voar
16675,Felipe Araujo,Mentira,Involuntariamente to ouvindo nossa
16676,Charlie Brown Jr,O Coro Vai Come,Corra pra ver o que acontece
16677,Engenheiros do Hawai,O Exercito De Um Homem So I,Nao importa se so tocam
16678,Chrystian e Ralf,Olhos De Luar,Tiao era um mulato forte alegre e
16679,Ferrugem - Alcione,Paciencia,E agora que eu me dei por total
16680,Amanda Magalhaes e Seu Jorge,Saiba,Amar voce e tao facil
16681,Zé Neto e Cristiano,Bebi Minha Bicicleta,Cortaram minha luz perdi o meu emprego
16682,Gustavo Mioto - Anitta,Coladinha Em Mim,Às vezes acho que Deus tava bem de boa
16683,Disney Moana - Saulo Vasconcellos,De Nada,Vou te explicar já saquei
16684,Roberta Campos - Vitor Kley,Fique Na Minha Vida,Pelo seu sorriso eu me apaixonei
16685,Matogrosso e Mathias,Frente A Frente,Nós precisamos conversar
16686,MC Marcinho,Glamourosa (Rap Glamurosa),Glamourosa rainha do funk
16687,Ferrugem,O Som Do Tambor,Esse é som do tambor
16688,Marília Mendonça,Quatro E Quinze,Quatro e quinze vem falar comigo
16689,Wesley Safadão,Sou Ciumento Mesmo,Tá claro você não existe sem mim
16690,Sandy - Thiaguinho,"Um Dia Bom, Um Dia Besta",Vem ver amor o dia que se levantou
16691,Marília Mendonça - Léo Santana - Didá,Apaixonadinha,Sabe por que fico mandando mensagem
16692,Atitude 67,Deus Abençoe O Rolê,Amém olha só como é da hora
16693,Henrique e Juliano,Liberdade Provisória,No início foi assim terminou tá terminado
16694,Anitta e Melim,Meu Mel,Meu mel lembra aquele quarto de hotel
16695,Maiara e Maraísa,Nem Tchum,Oi me responde cê ta aí
16696,Turma do Pagode - MC Kevinho,O Brasil Tem Que Te Ver,Já perdeu muito tempo machucando o
16697,Claudia Leitte,Perigosinha,Ai ai ai ai... O nome dela pe Pronta
16698,Ferrugem,Pra Você Acreditar,Pensa que eu não reparei que você passou
16699,Naiara Azevedo,Rapariga Digital,Solta meu braçoa vida é minha e
16700,O Surto,Tudo É Possível,Gi queria poder te levar
16701,IRA!,15 Anos,Quando me sinto assim volto a ter quinze anos
16702,Gusttavo Lima,A Gente Fez Amor,A gente tinha combinado que já tava tudo errado
16703,Nenhum de Nós,Amanhã Ou Depois,Deixamos pra depois uma conversa amiga
16704,Anitta e MC Cabelinho,Até O Céu,E olha como ela chegou de um jeito doce
16705,Glória Groove,Bumbum De Ouro,Essa mina é um tesouro bumbum de ouro
16706,Amado Batista,Menininha Meu Amor,Eu não consigo esquecer de você
16707,Pixote,Nem De Graça,É que não sobrou espaço pra outro alguém
16708,Jads e Jadson,Noite Fracassada,Outra noite fracassada sem você do lado
16709,Melim,Peça Felicidade,Hoje vamos desejar o bem sem olhar a quem
16710,Daniel - Chitãozinho e Xororó,Terra Tombada,É calor de mês de agosto é meados
16711,Clara Valverde - Josefe,A Gente Faz,Não esqueci de você se fosse pra esquecer
16712,Molejo - David Brazil,Amigo Gaguinho,Tenho um amigo que é gaguinho e ele só apronta
16713,Péricles - Jeniffer Nascimento,Casal Maluco,E se a gente acordasse amanhã e pegasse uma
16714,Jão,Louquinho,Eu sei que você sempre enjoa fácil
16715,Dilsinho,Misturados,Olha esse bar lotado
16716,Kell Smith,Mudei,Eu achava coisas que eu não acho mais
16717,Ana Vilela,Pra Não Te Acordar,Sorte é ver você sorrindo
16718,Harmonia do Samba - Ludmilla,Sacanagenzinha,Eu vou começar devagarinho acelerar só um
16719,João Bosco e Vinícius - Matheus,Segunda Taça,Eu já tinha tentado de tudo pra ver se eu te fazia
16720,Silva - Ludmilla,Um Pôr Do Sol Na Praia,Parei de reclamar a vida vai passar
16721,Raul Seixas,Coisas Do Coração,Quando o navio finalmente
16722,Boka Loka,Duas Paixões,Eu hoje tô tão dividido
16723,Marília Mendonça,Graveto,Vou ser sincero com você
16724,Lenine,Leve E Suave,Há de ser leve
16725,Mano Walter - Léo Santana,Misturou,É o vaqueiro e o gigante
16726,Ivete Sangalo,O Mundo Vai,Todo mundo mundo vai
16727,Ferrugem,Pai De Menina,O meu mundo azul
16728,Anitta-MC Zaac-Maejor-Tropkillaz-DJ Yuri,Vai Malandra,Vai malandra an an
16729,Henrique e Juliano,Volta Por Baixo,Parece que você não tá beijando
16730,Netinho,We Are The World Of Carnaval,Ah que bom você chegou
16731,Thiaguinho,A Fila Anda,A fila anda e você volta o que a gente tem
16732,Harmonia do Samba - Parangolé,Álcool Ou Gasolina,E mexeu com fogo pra quê
16733,Suricato - Melim,Astronauta,Ainda não sei o que fazer pra você reparar
16734,Marcos e Belutti - Gaab,Certo E Duvidoso,Eu não sou o cara perfeito que você sonhou
16735,Daniela Mercury,Confete E Serpentina,Confete e serpentina no cabelo da menina
16736,Thaeme e Thiago,Eu Conto Ou Cê Conta,Eu não ando aparecendo muito
16737,Olodum,I Miss Her,Oh Lord I'd like to know where she's now
16738,Jorge Vercilo (Vercillo) - Gabriel Burlamaqui,Linda Flor,Pensamento veio e me deixou distante
16739,LS Jack,Ls Jack,Não feche os olhos hoje eu quero lhe ver
16740,Preto no Branco - Gabriela Rocha,Ninguém Explica Deus,Nada é igual ao Seu redor
16741,Parangolé,Ela Não Quer Guerra Com Ninguém,Uma mulher de cabelo feito
16742,Anitta e Psirico,Jogação,Chamei as amigas pro baile
16743,Axé Blond,Pancadão,E vai jogando pro lado de lá
16744,Ludmilla - Ivete Sangalo,Pulando Na Pipoca,Hoje eu saí despreocupada
16745,Lexa,Só Depois Do Carnaval,Olha que cara de pau
16746,Disney Frozen - Taryn,Minha Intuição,Eu te escuto mas não vou
16747,Isabella Taviani,Não Brinca Comigo,Me faz um favor não brinca comigo
16748,Thiago Brava - Turma do Pagode,Predador,Aconteceu comigo o que eu mais temia
16749,Mariana Rios - Carlinhos Brown,Sem Roteiro,Quem vai dizer o lugar do certo
16750,Wesley Safadão - Israel Novaes,Vou Dar Virote,Amava alguém me enganei
16751,Sorriso Maroto - Dilsinho,50 Vezes,Eu nem acredito que eu tô sentindo falta
16752,Marília Mendonça,Abandono De Incapaz,Ele parou na porta olhou nos meus olhos
16753,Simone e Simaria,Amoreco,Tá osso sem voce tá osso
16754,Michel Teló,Casal Modão,Se for pra namorar e não ter parceira
16755,Vitão - Anitta,Complicado,A vida é curta demais pra ficar pensando
16756,Maiara e Maraísa,Cruzando Os Dedos,Você acha que me tem a hora que cê quer
16757,Calcinha Preta,Hoje À Noite,A noite passa devagar
16758,Manu Gavassi,Música Secreta,Acordo um pouco tonta sentindo a liberdade
16759,Pixote,Vai Errar De Novo,Era mais facil ter falado a verdade
16760,Matheus e Kauan - Marília Mendonça,Vou Ter Que Superar,Fui bobo imaturo demais deixei escapar
16761,João Bosco e Vinícius,Bebida E Fumaça,Esse pen drive so tem moda que maltrata
16762,Wesley Safadão - Zé Neto e Cristiano,Despedida,Eu entro no quarto e vejo sua mala
16763,Gustavo Mioto,Despedida De Casal,Mesa pra dois num restaurante chique
16764,Milionário e José Rico,Duas Camisas,Amigo ainda continuo apaixonado
16765,Atitude 67 - Thiaguinho,Hola Chica,Hola chica e ai que tal
16766,Matheus e Kauan,Litrão,Nao sou de fazer ameaca
16767,Naiara Azevedo,Palmas Pro Meu Ex,Quem me viu sofrer mentiu
16768,Ferrugem,Segundo Plano,Eu nao sei onde e que a gente ta errando
16769,Marilia Mendonça,Tentativas,Por que que ta errado se tem tudo pra dar certo
16770,Thiaguinho MT - Mila - JS o Mão de Ouro,Tudo Ok,E hoje que ele paga todo o mal que ele te fez
16771,Fundo de Quintal,Bença Pai,O comentario la em casa e voce
16772,Pabllo Vittar - Jerry Smith,Clima Quente,Beat envolvente quando toca o corpo sente
16773,Dilsinho,Deixa Pra Amanhã,Toda vez voce ligava
16774,Léo,Jessica,O mae nao precisa brigar comigo
16775,Wesley Safadão - Simone e Simaria,Juras De Amor (Vai Chorar),Eu feito um louco fiz de tudo por voce
16776,Israel Novaes - Wesley Safadão,Lapada De Saudade,Seis horas da manha
16777,Ivete Sangalo - Tom Kray,Não Me Olha Assim,Nao me olha assim como quem nao quer
16778,Lucas Lucco,Se Fosse Amor,Se fosse amor ce nao traia
16779,Grupo Revelação,Shortinho Saint Tropez,Quando ela passa por aqui
16780,Marilia Mendonça,Supera,Ta de novo com essa pessoa
16781,Luiz Gonzaga,Boiadeiro,Vai boiadeiro que a noite ja vem
16782,Raul Seixas,Cachorro Urubu,Baby essa estrada e comprida
16783,Pablo - Zezé Di Camargo e Luciano,Chora Nao Bebe,Eu sei que nao e facil
16784,Amado Batista,Desliga A Luz E O Telefone,Olha amor eu vim de longe pra te ver
16785,Luan Santana,Eu Voce O Mar E Ela,Ser romantico as vezes ajuda
16786,José Augusto,Me Esqueci De Viver,De tanto correr pela vida sem rumo
16787,Giulia Be,Menina Solta,Ah ah Ela era la da Barra ele de Ipanema
16788,Alcione,Mulher Ideal,Eu sou aquilo que sou
16789,Zeca Pagodinho,Quando Eu Contar (Iáiá),O Iaia Minha preta nao sabe
16790,Jorge e Mateus,Ranking,Amores vem Amores vao
16791,Moraes Moreira,As Abelhas,A abelha mestra
16792,Chrystian e Ralf,Chora Peito,Olho na janela a minha frente
16793,Léo Santana - Lauana Prado,Figurinha Repetida,Parece que as nossas bocas já se conh
16794,Harmonia do Samba,Lentinho,Se não tem mais idade pra dançar
16795,Pabllo Vittar - Ivete Sangalo,Lovezinho,Shortinho estampado de abacaxi
16796,Vitor Kley,O Amor É O Segredo,Um dia me disseram que nada vai adia
16797,Henrique e Juliano,Online,Quatro horas da manhã
16798,Barão Vermelho,Por Que A Gente É Assim,Mais uma dose
16799,Claudia Leitte - MC Zaac,Rebolada Bruta,Nunca fui sua prioridade
16800,De Maria,Só Penso Em Você,Nada é como parece
16801,Eduardo Costa,Ainda Tô Aí,Pensava em você vivia você
16802,Dilsinho - Thiaguinho,Apaixonadin,Vai me diz quero ouvir o que te faz tão feliz
16803,Ferrugem,Até Que Enfim,Quem mandou você roubar o brilho do Sol
16804,Turma do Pagode,De Corpo E Alma,Ouve esse som pra você desgrilar
16805,Maiara e Maraísa - Dilsinho,Libera Ela,Ei brother cê vai enrolar ela até quando
16806,Naiara Azevedo,Mãe Solteira,Tô vendo que a gente tá se aproximando
16807,Zeca Pagodinho,Mais Feliz,Nós fomos feitos um pro outro de encomenda
16808,Mano Walter - Marília Mendonça,O Que Houve?,O que houve por que que você não atende
16809,Fagner,Tanto Faz,Tanto faz pra você eu sei tanto faz
16810,LS Jack,Você Chegou,Lembra então daquela vez que eu te vi
16811,Sandy e Júnior,A Arte Do Coração,Nã-nã nã...Não tinha pensado em me apaixonar
16812,Ludmilla,Amor Difícil,Sempre vai embora sem olhar pra trás
16813,Ivete Sangalo - Whindersson Nunes,Coisa Linda,Coisa linda minha vida é você
16814,Limão com Mel,De Janeiro A Janeiro,Quero você por inteiro só pra mim
16815,Fábio Jr.,Eu Me Rendo,Onde é que foi parar aquela menina
16816,Moraes Moreira,Eu Sou O Carnaval,Eu sou o carnaval em cada esquina
16817,Titãs,O Pulso,O pulso ainda pulsa
16818,Matheus e Kauan - Jorge e Mateus,Quarta Cadeira,Tá viciando outra boca como fez com a minha
16819,Bruno e Marrone,Sinônimo De Amor,Estou aqui olhos nos olhos com você
16820,Belchior,Sujeito De Sorte,Presentemente eu posso me considerar
16821,Duda Beat - Mateus Carrilho - Jaloo,Chega,Você domina todos os meus pensamentos
16822,Marília Mendonça - Gaab,Intenção,Desculpa o meu tom de voz
16823,Vitor Kley - Vitão,Jacarandá,Desde pequeno admirei teu jeito
16824,Jão,Me Beija Com Raiva,Pros sonhadores há inimigos
16825,Giulia Be,Não Era Amor,Tentei te avisar tantas vezes que você
16826,Boka Loka,Não Pedi Pra Me Apaixonar,Ela mexe comigo e pior que não sabe
16827,Mila - Jottapê,O Amor Que Tu Perdeu,Tu não me queria quando eu tava apaixonada
16828,Jerry Smith - Simone e Simaria,"Os Boys Amam, O Ex Chora",Shortinho curto desfiado tão linda ela passou
16829,Zé Ramalho,Para Raul,Depois que você se foi
16830,Sérgio Reis,Poeira,O carro de boi lá vai
16831,Melim,Eu Feat. Você,Hoje eu vou sair
16832,Marcos e Belutti,Isa,A gente terminou eu te bloqueei
16833,Rita Lee,Mamãe Natureza,Não sei se eu estou pirando
16834,Projota,Ombrim,Eu sou do tipo come quieto
