code,name,Artista,Musica,Letra
04021,04021.mp4,Daniel,Adoro Amar Você,Tá no meu paladar
04022,04022.mp4,Cleiton e Camargo,Agenda Rabiscada,Você fala por aí que não me ama
04023,04023.mp4,José Augusto,Agüenta Coração,"Coração, diz pra mim"
04024,04024.mp4,Os Abelhudos,Ao Mestre Com Carinho,Quero aprender
04025,04025.mp4,Os Magníficos,Apaixonado,"Quero, quero tanto ter você pra mim"
04026,04026.mp4,Gal Costa,Baby,"Você, precisa saber da piscina"
04027,04027.mp4,Terrasamba,Carrinho De Mão,"Padá, badá"
04028,04028.mp4,Leandro e Leonardo,Chuva De Lágrimas,Eu vejo a chuva caindo sem parar
04029,04029.mp4,Raul Seixas,Cowboy Fora Da Lei,Mamãe não quero ser prefeito
04030,04030.mp4,Leandro e Leonardo,Cumade E Cumpade,Veste a calça Saint Tropez
04031,04031.mp4,Marisa Monte,De Noite Na Cama,"De noite na cama, eu fico pensando"
04032,04032.mp4,Chitãozinho e Xororó,Deixei De Ser Cowboy Por Ela,Eu sempre acreditei no amor
04033,04033.mp4,Titãs,É Preciso Saber Viver,Quem espera que a vida seja feita de
04034,04034.mp4,Sandy e Júnior,Em Cada Sonho,Cada vez que eu penso te sinto
04035,04035.mp4,Fafá de Belém,Eternamente,Só mesmo o tempo pode revelar
04036,04036.mp4,Mel Com Terra,"Eu, Você E O Amor",Lembro do dia em que eu te conheci
04037,04037.mp4,Milton Nascimento,"Fé Cega, Faca Amolada",Agora não pergunto mais aonde vai
04038,04038.mp4,Karametade,Grito De Paixão,Ilusão é uma flor no meio de
04039,04039.mp4,Vinny,"Heloísa, Mexe A Cadeira",Mexe a cadeira e bota na beira
04040,04040.mp4,Renato Russo,La Forza Della Vita,Anche quando ci buttiamo via
04041,04041.mp4,Ara Ketu,Mal Acostumado,Amor de verdade eu só senti
04042,04042.mp4,Soweto e Neguinho Da B.F.,Negra Ângela,Eu prefiro acreditar que é mentira
04043,04043.mp4,Negritude Júnior,O Beijo,Beijo agarradinho beijo estaladinho
04044,04044.mp4,Maria Bethânia,Olha,"Olha, você tem todas as coisas"
04045,04045.mp4,Art Popular,Pagode Da Amarelinha,Pagode da amarelinha
04046,04046.mp4,João Bosco,Papel Marchê,"Cores do mar, festa do sol"
04047,04047.mp4,Só Pra Contrariar,Pecado Capital,Dinheiro na mão é vendaval
04048,04048.mp4,Maurício Mattar,Pra Ficar Contigo,Ai que vontade de te ver de novo
04049,04049.mp4,Zezé Di Camargo e Luciano,Pra Não Pensar Em Você,Quando a saudade doer e a solidão
04050,04050.mp4,Peninha,Qual Carícia,Você faz tudo que eu gosto
04051,04051.mp4,Marcos Sabino,Reluz,Brilha no céu de novo uma estrela
04052,04052.mp4,Raça Negra,Será,Tire suas mãos de mim
